,VIOLATION_ID,ORG_ID,VIOLATION_TYPE,VIOLATION_DESC,REMEDIAL_TEXT,CATEGORY
0,1,1,BANNERS,Banners,CAAZ_BANNERS,CAAZ
1,2,1,BGMATOWNER,Proper Maintenance Req - Owner,CAAH_BG_MATOWNER,CAAH
2,4,1,BLDGMAINT,Proper Maintenance Req,CAAH_BLDG_MAINT,CAAH
3,5,1,BLDGPERMIT,Building Permit Required,CAAB_BLDG_PERMIT,CAAB
4,6,1,BLDGSCOPE,Scope of Building Code,CAAH_BLDG_SCOPE,CAAH
5,7,1,BOARDINGRQ,Boarding Requirements,CAAH_BOARDING_REQU,CAAH
6,8,1,BOARDVAC,Boarding of Vacant Buildings,CAAH_BOARDING_VABLDG,CAAH
7,9,1,CARROW,Vehicle In The Right-Of-Way,CAMCL_SEW_CONCT,CAM
8,10,1,CERTCOMP,Certificate of Compliance Required,CAAZ_CERT_COMP,CAAZ
9,11,1,CERTOCC,Certificate of Occupancy Required,CAAH_CERT_OCC,CAAH
10,12,1,CHICKFARM,Chickens and Other Domestic Farm Animals,CAAZ_CHICK_ANIMALS,CAAZ
11,13,1,CONSIGSALE,Consignment Sale,CAAZ_CONSIGN_SALE,CAAZ
12,14,1,CROWDEDFM,Overcrowding – Unrelated Adults,CAAZ_OVCROWDEDFM,CAAZ
13,15,1,CROWDGH,Overcrowding – Group Home,CAAZ_OVCROWDEDGH,CAAZ
14,16,1,DUMPDESIG,Dumping in permitted places,nan,DUM
15,(B). It is unlawful for any person to dispose of or cause to be disposed any waste in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle. ,CAMCL_DUMP_DESIG,nan,N,1,
16,17,1,DUMPSTER,Hours of Collection & Dumpster Required,CAMCL_LIT_NOTICE,CAM
17,18,1,ECSYSHZ,Electrical System Hazards,CAAE_ELECSYS_HAZ,CAAE
18,19,1,ECSYSHZCRT,Electrical System Certification,CAAE_ELECSYS_HAZCERT,CAAE
19,20,1,ELECEAREC,Electrical Receptacles,CAAE_ELECEA_RECPT,CAAE
20,21,1,ELECEQ,Electrical Equipment ,CAAE_ELEC_EQ,CAAE
21,22,1,ELECEQLIGH,Electrical Lighting Fixtures,CAAE_ELECEQ_LIGHT,CAAE
22,23,1,ELECFAC,Electrical Facilities Required,CAAE_ELECFAC,CAAE
23,24,1,ELECSVCPAN,Electrical Service Panel,CAAE_ELECSVC_PANEL,CAAE
24,25,1,EXPARK,Exterior Prop Area – Vehicles – Parking,CAAH_EXT_PARK,CAAH
25,26,1,EXTACC,Exterior Prop Area – Acces Structures,CAAH_EXT_ACC,CAAH
26,27,1,EXTBAHAT,Exterior of Bldgs – Basement Hatchways,CAAH_EXT_BAHAT,CAAH
27,28,1,EXTBAL,Exterior of Buildings - Balconies,CAAH_EXT_BALCO,CAAH
28,29,1,EXTCHIMTW,Exterior of Bldgs – Chimneys and Towers,CAAH_EXT_CHIMTW,CAAH
29,30,1,EXTDEC,Exterior of Buildings – Decks,CAAH_EXT_DECK,CAAH
30,31,1,EXTDECF,Exterior of Bldgs – Decorative Features,CAAH_EXT_DECF,CAAH
31,32,1,EXTDENBW,Exterior Prop Area – Fences  Barbed Wire,CAAH_EX_FENBW,CAAH
32,33,1,EXTDOOR,Exterior of Buildings – Doors,CAAH_EXT_DOOR,CAAH
33,34,1,EXTEPIDRES,Exterior of Buildings – Premises ID Res,CAAH_EXT_PIDRES,CAAH
34,35,1,EXTERMOCUP,Extermination – Multiple Occupancy,CAAH_EXTER_MOCCUP,CAAH
35,36,1,EXTEROCCUP,Extermination – Single Occupant,CAAH_EXTER_OCCUP,CAAH
36,37,1,EXTEROWNER,Extermination – Owner,CAAH_EXTER_OWNER,CAAH
37,38,1,EXTERREQ,Extermination Required,CAAH_EXTER_REQ,CAAH
38,39,1,EXTERSOCC,Extermination – Occupant,CAAH_EXTER_SOCCUP,CAAH
